"name"
"Collective Leave"
"Cuti anggota keluarga dalam satu rumah meninggal dunia"
"Cuti di luar tanggungan"
"Cuti haid"
"Cuti hamil"
"Cuti istri melahirkan / keguguran kandungan"
"Cuti Melahirkan"
"Cuti membaptiskan anak"
"Cuti mengkhitankan anak"
"Cuti menikah"
"Cuti menikahkan anak"
"Cuti Obituary"
"Cuti suami/ istri/ orang tua/ mertua/ anak/ menantu meninggal dunia"
"Cuti tahunan"
"Hadir"
"Lembur hari libur"
"Pulang lebih awal"
"Sakit"
"Terlambat <= 5 menit"
"Terlambat > 5 menit"
